file,formula,ismetal,H-mass,e-mass,bandgap,bandgap_type,formation_energy_per_atom,ehull,¦Å¡Î ,¦Å¡Í 
519,O2SiZr2,TRUE,,,-0.7254,Indirect,-0.773016923,2.45958265,,
520,O2Sn,FALSE,-13.358,-1.858,2.4456,Direct,-0.768832133,2.01085005,,
521,O2Ti,TRUE,,,0.2193,Direct,-1.220389622,2.8997395,,
522,O2V,TRUE,,,0.0173,Indirect,-1.224836433,2.21790275,,
523,O3P2S2,FALSE,2.875,-4.829,4.1821,Direct,-1.806788335,0.054544457,3.978520518,4.31152995
524,O3P2Se,FALSE,58.638,-17.669,3.4252,Indirect,-2.065292976,0.128763633,,
525,O3P2,FALSE,5.619,-17.192,3.7836,Indirect,-2.383230432,0.140091401,,
526,O3P4S6,FALSE,3.697,-2.885,3.1488,Direct,-1.017220852,0.064058077,3.891081301,2.89296386
527,O3Rh,TRUE,,,-0.3974,Indirect,-1.113419088,0.898687656,,
528,O3S,FALSE,12.854,-12.428,5.4307,Direct,-2.095360807,0.036756042,2.852150289,3.05109671
529,O3Sb2,FALSE,32.624,6.923,2.9089,Indirect,-2.20034115,0.0907932,14.43856543,9.398914792
530,O3Se,FALSE,-31.742,-72.138,2.4611,Indirect,-1.49861125,0.243183531,,
531,O4Os,FALSE,-38.083,11.249,3.2909,Indirect,-1.99635788,0.0701518,2.961734194,3.337657233
532,O4Ru,FALSE,16.951,-9.184,2.8723,Direct,-1.81680568,0.08867265,2.615607144,2.785409486
533,O4S2Sn,FALSE,-4.484,-6.547,2.4318,Indirect,-1.890219813,0.17741908,,
534,O4Sr,TRUE,,,0.2611,Direct,-1.3234544,1.11137085,,
535,O5P2,FALSE,59.662,-4880.31,5.4754,Indirect,-2.915511015,0.088445679,,
536,Ac2Cl2O,TRUE,,,-0.3384,Indirect,-1.724411635,1.29139462,,
537,O6P4S3,FALSE,6.285,1.639,4.1557,Indirect,-1.923366046,0.079689769,3.524605144,3.714291704
538,O6P4S,FALSE,9.472,-3.381,3.7279,Direct,-2.216066128,0.10708875,,
539,O6P4Se3,FALSE,4.974,-42.642,3.4586,Indirect,-1.921217801,0.140911431,,
540,B9H11N4,FALSE,117.836,-438.846,3.0452,Indirect,-0.650088231,0.450958066,,
541,O6P4Se,FALSE,3.404,4.052,3.0497,Indirect,-2.204144547,0.141140114,,
542,O6Te,TRUE,,,-0.2608,Indirect,-0.595654425,1.158732875,,
543,O7P4S,FALSE,-19.307,3.986,4.1724,Indirect,-2.409906501,0.069586562,3.886075823,4.141150864
544,O7P4Se,FALSE,8.753,3.836,3.696,Indirect,-2.406670885,0.093635375,3.883865746,4.549037827
545,O7P4,FALSE,3.536,10.899,4.1251,Indirect,-2.580521508,0.095729599,4.591659681,3.20746675
546,O7Re2,FALSE,2.597,-4.834,2.7507,Direct,-2.497696911,0.093832083,6.941064523,4.302252417
547,O7Tc2,FALSE,4.032,-11.949,2.7782,Indirect,-2.412437189,0.039852222,4.435131462,3.753189389
548,OS8,FALSE,4.606,6.392,2.3645,Indirect,-0.2210259,0.113269958,,
549,OSe2U2,TRUE,,,-0.5745,Indirect,-0.9714446,1.377354787,,
550,BBr3,FALSE,3.299,2.936,3.757,Indirect,-0.960307635,0.094476875,2.478476092,2.588713259
551,OSn2,TRUE,,,-1.4865,Indirect,-0.922890033,0.51625795,,
552,OTe2U2,TRUE,,,-1.142,Indirect,-0.69185547,1.148166542,,
553,P2S3,FALSE,-20.448,3.442,2.558,Indirect,-0.100540178,0.073354281,5.103140117,3.794420245
554,P2S5,FALSE,-1.151,-3.4,2.2582,Indirect,-0.088332511,0.059064429,,
555,BBr6P,FALSE,4.808,-6.763,2.5661,Direct,-0.841706926,0.085349813,4.910231296,2.681143703
556,P2Se5,FALSE,-4.516,-3.244,1.1287,Direct,-0.217219123,0.149467393,,
557,P4S3,FALSE,2.364,0.428,2.6667,Indirect,-0.033625643,0.104147393,,
558,P4S5,FALSE,-4.6,0.912,2.2504,Indirect,-0.084459298,0.080070347,,
559,P4S7,FALSE,-2.108,-6.122,2.5616,Indirect,-0.080978398,0.100578182,,
560,P4S9,FALSE,-4.145,-81.118,2.6561,Indirect,-0.097394505,0.061529615,4.325557644,3.389896987
561,P4Se3,,,,,Direct,-0.103432367,0.138666787,,
562,BBrS,FALSE,4.502,-2.878,3.4431,Direct,-0.860867725,0.051120278,2.892685606,2.764112517
563,P4Se5,FALSE,1.484,-15.104,1.4562,Indirect,-0.18005808,0.124231667,,
564,P4Tc,FALSE,1.018,0.158,0.1613,Indirect,0.073947257,0.50358895,,
565,PS2Zr2,TRUE,,,-1.8227,Indirect,0.222585343,1.838754575,,
566,PS,FALSE,-0.572,-1.242,2.3252,Direct,-0.043431074,0.109392555,,
567,PSe2Th2,TRUE,,,-2.0618,Indirect,0.111629874,2.0422474,,
568,RuSi2Sm2,TRUE,,,-1.1027,Indirect,1.01916984,1.97803565,,
569,S2Ta,TRUE,,,-0.7134,Indirect,0.50113716,1.617510833,,
570,S4Si,TRUE,,,-0.905,Indirect,-0.066510025,0.3832168,,
571,STl6,TRUE,,,-1.0932,Indirect,0.156831478,0.303868635,,
572,BBr,FALSE,-2.059,-2.98,1.2403,Direct,-0.895505457,0.062351583,,
573,SbSe2Th2,TRUE,,,-2.0283,Indirect,0.02687669,1.75481125,,
574,Se2SiZr2,TRUE,,,-1.2338,Indirect,0.013388237,1.508058867,,
575,Se2Si,FALSE,2.374,-57.327,1.7902,Indirect,0.020549117,0.821567583,,
576,Se3SiTl2,FALSE,7.96,0.586,2.1056,Indirect,-0.612188112,0.131114833,,
577,Se,FALSE,-11.77,-5.475,1.567,Indirect,-0.32266245,0,,
578,SiTe2Zr2,TRUE,,,-1.1187,Indirect,0.258144567,1.30216704,,
579,TbTe2,TRUE,,,-2.1302,Indirect,-0.040936306,1.233261472,,
580,BCl2N,FALSE,3.104,-11.04,2.9317,Direct,-0.750082119,0.364901229,,
581,AlBr3S,TRUE,,,-0.6765,Indirect,-0.740406927,0.4506633,,
582,BCl3,FALSE,3.845,4.997,4.6696,Indirect,-1.16748826,0.082732875,2.254099755,2.408630683
583,BClN,TRUE,,,-0.035,Indirect,-0.54619411,0.765604347,,
584,BCl,FALSE,-4190.003,-6065.494,0.2868,Direct,-0.998744498,0.089403625,,
585,BF2,FALSE,-7.531,-182.1,5.1751,Direct,-2.561097967,0.137212278,,
586,BH2N,FALSE,4.281,-11.76,5.1231,Indirect,-1.052136663,0.111111792,,
587,BH2O2,FALSE,3.912,4.436,4.892,Indirect,-2.33836242,0.22772754,,
588,BH3O3,FALSE,-1.742,16.354,5.3566,Indirect,-2.507769336,0.068532857,3.697206748,4.217347693
589,AlBr3,FALSE,3.847,-4.59,4.2001,Direct,-1.40359601,0.085926313,2.967877216,2.626619994
590,BH3,FALSE,5.416,-5.256,5.2854,Indirect,-0.703869075,0.027829494,2.439568181,2.45646805
591,BH4N,FALSE,13.539,-2.914,5.1195,Direct,-0.943727408,0.038794306,3.416286116,16.69383457
592,BH6N,FALSE,1.818,-2.44,5.5102,Direct,-0.860685969,0.031472375,3.468914968,20.65899918
593,BH7N2,FALSE,13.175,-8.841,4.8013,Direct,-0.657131565,0.267367883,,
594,BHO2,FALSE,5.011,-4.059,5.9354,Direct,-2.954784029,0.091885521,,
595,BI3,FALSE,2.85,3.534,2.7471,Indirect,-0.14421125,0.118683438,,
596,AlBr8Nb,FALSE,-0.714,-2.945,1.496,Direct,-1.365323644,0.0717339,,
597,BS2,FALSE,-2.792,2.425,2.4076,Indirect,-0.610130054,0.039502833,,
598,Bi2Br2O,TRUE,,,-2.3038,Indirect,-0.741127272,0.744604163,,
599,Bi2Cl2O,TRUE,,,-1.0998,Indirect,-0.611065225,0.872254133,,
600,Bi2F2O,TRUE,,,0,Direct,-1.13530976,1.0373886,,
